order_id,customer_id,product_id,order_amount,order_date,payment_method,status,quantity
c4e7f68f-8253-4411-9a96-08a69ee37514,382c87fe-09d6-455f-a5b0-d292796c3a0d,PROD-0142,26337.45,29/02/2024,wallet,REF,3
6a36a183-7803-47e0-be37-09ee275863a2,c49c0330-1eda-40bc-bdcc-0ad86fc8ddda,PROD-0429,29416.72,10/01/2025 12:00,card,suc,4
7bf02768-7096-41a3-b42a-4dc675497f9b,eb1f6590-b608-460f-93dd-0aeae2ab9c4e,PROD-0398,"1,200",14/12/2023,UPI ,success,1
35a7d35d-9998-411e-9663-a794e08d3971,cac39caf-175a-41da-8f14-606eee96dd19,PROD-0203,14991.21,2026-02-10T15:18:02.953186,wallet,Success,4
c6887c12-89f8-4ecc-920a-d3b967bcae05,9bc80a14-6919-496b-8154-081cf41ab21b,PROD-0145,29615.98,15/12/2024,cd,SUCCESS,0
f833258c-c478-4316-99fe-5e9491de9d91,6ed274d7-d2aa-4ff6-84e4-80cecb4667a2,PROD-0235,40208.72,10/01/2025 12:00,wallet,success, 
ac941687-f113-4c50-8e91-1d8e080a46d0,11fe5a9a-06c6-48ce-a453-5bf2051ddc43,PROD-0410,-50,14/06/2024,UPI ,suc,2
e99d8583-1324-4d35-a01e-e8b1cb4759c7,654d9af4-07a1-412f-90a6-a11c793d9854,PROD-0470,7086.88,,cash,failed,3
a2376264-d6be-45d2-b2e2-8b41e0ea824a,141ad63a-c1a9-43ad-8ff1-b36f167080d5,PROD-0349,34334.22,4/05/2025,c@rd,fail,3
e7fa1cd5-c1e3-471c-8f82-ba452054ce01,46b65227-230e-4128-9b1b-593a9c21df85,PROD-0100,25507.16,26/01/2025,cash,fail,5
a6b00ae2-57f8-439d-9730-c844c7a1d6d6,c05f8972-df76-4bd8-aa95-500bf30125b9,PROD-0174,25562.55,10/11/2025,cash,success,five
cd5d1374-9c67-4af5-9db7-2d1b286cc2ff,994518ad-85e0-4520-93cf-49ddd4d5368a,PROD-0270,29502.56,28/11/2024,card,success,3
ff59e27d-fb55-440a-bab0-f84b66cca463,f763c6db-4ff0-4075-9707-6e06899151a4,PROD-0071,43541.61,, upi,success,1
6b74d27f-9c82-4492-aca4-ca5cceec53e6,b0784514-87da-4206-885f-0c9900f40eca,PROD-0342,7824.98,14/03/2025,cash,refunded ,2
cdf39e31-0fa4-463b-8c9d-de486e7bbb76,af197364-9271-43f9-a003-fb122066b96d,PROD-0465,3542.94,2024/31/01,cash,suc,4
57870561-66c0-4418-a4b2-f6f4973f4392,4ba33e85-2f6c-4f72-a3ce-78ecca60c8d6,PROD-0113,17452.58,10/02/2024,card,fail,1
8ce241ff-adb4-4ae3-b475-d02a53478760,75d45486-96d4-4dca-a9e2-ebb2adb903a5,PROD-0300,-50,6/01/2025,CRAD,success,4
4679b4fe-fd77-4f53-8fb0-13ad78cdafb8,0d49dd3b-8a70-4cba-98ea-0106343f9b62,PROD-0482,33820.84,24/02/2025,upi,refunded,5
4679b4fe-fd77-4f53-8fb0-13ad78cdafb8,0d49dd3b-8a70-4cba-98ea-0106343f9b62,PROD-0482,33820.84,24/02/2025,upi,refunded,5
4679b4fe-fd77-4f53-8fb0-13ad78cdafb8,0d49dd3b-8a70-4cba-98ea-0106343f9b62,PROD-0482,33820.84,42/02/2025,upi,refunded,5
4679b4fe-fd77-4f53-8fb0-13ad78cdafb8,0d49dd3b-8a70-4cba-98ea-0106343f9b62,PROD-0482,33820.84,24/13/2025,upi,refunded,5
4679b4fe-fd77-4f53-8fb0-13ad78cdafb8,0d49dd3b-8a70-4cba-98ea-0106343f9b62,PROD-0482,33820.84,24/02/2025,upi,refunded,5
4679b4fe-fd77-4f53-8fb0-13ad78cdafb8,0d49dd3b-8a70-4cba-98ea-0106343f9b62,PROD-0482,33820.84,24/02/2025,upi,refunded,5
